dataset_id,subject_id,language,PrimaryLang,age,sex
Almoammer2013,100212-LM,English,English,49.54,F
Almoammer2013,100212-AR,English,English,46.18,F
Almoammer2013,100212-BL,English,English,26.91,F
Almoammer2013,100210-C1,English,English,37.63,M
Almoammer2013,100212-AA,English,English,24.97,F
Almoammer2013,100212-A1,English,English,33.72,F
Almoammer2013,100212-A2,English,English,NA,M
Almoammer2013,100212-E,English,English,NA,F
Almoammer2013,100312-LM,English,English,47.83,M
Almoammer2013,100312-PH,English,English,45.86,M
Almoammer2013,100312-RW,English,English,45.56,M
Almoammer2013,100312-OF,English,English,49.67,M
Almoammer2013,100312-EL,English,English,54.64,M
Almoammer2013,100312-CA,English,English,56.68,M
Almoammer2013,100312-HG,English,English,53.85,M
Almoammer2013,100312-GS,English,English,50.69,M
Almoammer2013,100312-QH,English,English,50.3,M
Almoammer2013,100312-MK,English,English,59.41,M
Almoammer2013,100512-JC,English,English,47.01,M
Almoammer2013,100912-TL,English,English,33.95,M
Almoammer2013,100912-LB,English,English,25.13,M
Almoammer2013,100912-DH,English,English,28.26,M
Almoammer2013,100912-AB,English,English,38.16,F
Almoammer2013,101012-NS,English,English,52.11,F
Almoammer2013,101012-SK,English,English,37.8,F
Almoammer2013,101012-AD,English,English,55.86,F
Almoammer2013,101012-PL,English,English,32.01,F
Almoammer2013,101012-AC,English,English,59.05,F
Almoammer2013,101012-LO,English,English,46.35,F
Almoammer2013,101012-AW,English,English,44.51,M
Almoammer2013,101012-GS,English,English,44.41,M
Almoammer2013,100812-WA,English,English,51.12,M
Almoammer2013,101112-GA,English,English,56.88,F
Almoammer2013,101112-AA,English,English,42.8,F
Almoammer2013,101112-AD,English,English,28.26,M
Almoammer2013,101112-KW,English,English,54.64,M
Almoammer2013,101112-B,English,English,49.8,M
Almoammer2013,101112-XD,English,English,54.8,M
Almoammer2013,101112-CW,English,English,47.89,M
Almoammer2013,101112-AC,English,English,44.67,M
Almoammer2013,101212-RB,English,English,57.11,F
Almoammer2013,101212-HS,English,English,38.59,F
Almoammer2013,101612-TK,English,English,51.22,F
Almoammer2013,101612-NR,English,English,27.76,M
Almoammer2013,101612-SD,English,English,54.9,M
Almoammer2013,101912-NW,English,English,28.45,F
Almoammer2013,101912-GW,English,English,28.45,M
Almoammer2013,101912-SW,English,English,28.45,F
Almoammer2013,101812-S1,English,English,31.88,F
Almoammer2013,101812-S2,English,English,31.88,M
Almoammer2013,101812-BB,English,English,39.18,F
Almoammer2013,102512-JG,English,English,43.16,F
Almoammer2013,102512-MH,English,English,42.93,F
Almoammer2013,102612-JD,English,English,28.72,F
Almoammer2013,102612-LD,English,English,50.16,F
Almoammer2013,102612-MN,English,English,48.91,F
Almoammer2013,110712-CN,English,English,39.01,M
Almoammer2013,110712-JB,English,English,28.98,M
Almoammer2013,110712-CM,English,English,32.57,M
Almoammer2013,110712-ML,English,English,32.73,F
Almoammer2013,110812-SM,English,English,42.11,M
Almoammer2013,110612-BP,English,English,40.66,M
Almoammer2013,110612-DR,English,English,26.18,M
Almoammer2013,110712-MS,English,English,36.91,M
Almoammer2013,110512-JF,English,English,50.59,M
Almoammer2013,110812-PF,English,English,40.36,M
Almoammer2013,110912-AC,English,English,46.84,M
Almoammer2013,110912-OV,English,English,47.17,F
Almoammer2013,111412-KP,English,English,32.04,F
Almoammer2013,111512-JS,English,English,46.25,M
Almoammer2013,112612-JG,English,English,49.14,F
Almoammer2013,112612-CJ,English,English,33.55,M
Almoammer2013,112612-SB,English,English,31.45,F
Almoammer2013,112612-DF,English,English,28.19,F
Almoammer2013,112612-KJ,English,English,45.3,F
Almoammer2013,112612-YM,English,English,47.63,F
Almoammer2013,112712-IM,English,English,28.09,F
Almoammer2013,112712-DA,English,English,41.74,F
Almoammer2013,120312-GB,English,English,32.14,M
